lat,lon,mean,median,std,min,max,count
7.5,94.5,30.441746954669792,30.394315499999998,1.1538146373529903,26.13182,34.210545,5118
8.5,73.5,31.7198035423906,31.848427,1.6532174686501928,25.96166,36.794495,20087
8.5,76.5,30.96742086663016,30.885147,1.4775334742543347,24.488495,35.654076,20087
8.5,77.5,32.75678572524519,32.647163,1.596108621320619,25.38285,37.643414,20087
8.5,78.5,32.924438817842386,33.10943,1.9418751664593779,25.06806,38.01043,20087
9.5,76.5,30.99190350430627,30.833038,1.7867683305676425,24.64426,36.241653,20087
9.5,77.5,31.561372370189677,31.462355,1.665135963410648,24.021538,36.600258,20087
9.5,78.5,32.19757659371733,32.62,2.4419132202698157,23.429197,38.213036,20087
9.5,79.5,33.427245936277195,33.87667,2.6461963698334676,24.336784,39.808773,20087
9.5,92.5,30.625372646060406,30.52,1.1788444640994566,25.938488,35.081577,12019
10.5,75.5,29.910830401403892,29.764204,1.9569446627472724,23.20053,35.927204,20087
10.5,76.5,28.71713276537064,28.407305,2.0148943710401994,21.509151,35.283882,20087
10.5,77.5,30.73930647702494,30.588846,2.4228047152175356,21.41949,37.7711,20087
10.5,78.5,33.998778351222185,34.44235,2.8109648911627794,24.14803,40.385456,20087
10.5,79.5,33.43604685517997,33.855194,2.803776773060372,24.198961,40.290806,20087
10.5,92.5,30.62090938181213,30.51107,1.1876426852545763,25.90359,35.17158,12019
11.5,72.5,30.40660309234828,30.70952,2.1218485997217713,24.48273,35.99384,20087
11.5,75.5,28.989481167571064,28.893484,2.1462229925028096,22.59042,35.181156,20087
11.5,76.5,28.992947186040723,28.50888,2.3226013221486346,22.009039,36.201054,20087
11.5,77.5,30.270442598894807,29.82845,2.506256774024959,21.478317,38.021145,20087
11.5,78.5,34.03805660775626,34.300884,3.001678239636132,23.90564,41.88631,20087
11.5,79.5,33.440651271668244,33.759903,2.9094650255604524,24.301147,40.828255,20087
11.5,92.5,30.627698521210597,30.5136125,1.1964046226842633,25.86121,35.268024,11928
12.5,74.5,29.750555854881267,29.963003,2.4668089442192254,23.200176,36.043453,20087
12.5,75.5,29.543217239060088,29.550537,2.500151095506172,22.993492,36.075283,20087
12.5,76.5,27.631692518693683,27.023336,2.5832132398736274,20.41,35.049995,20087
12.5,77.5,31.013383011002137,30.5166,2.8415757274285305,20.91075,39.309166,20087
12.5,78.5,32.35634990506297,32.252785,3.1337343906986566,21.25304,40.737366,20087
12.5,79.5,33.8028996629661,34.06438,3.241636806491604,23.368273,44.032696,20087
12.5,80.5,33.67418313112959,33.93784,3.2566985449638413,23.497421,43.730377,20087
